paddle #,end (A/B),raise/lower,RAT,PB CH,original HV,new HV
,,,,,,
62,A, 1,9, 57
62,B, 1,10,57
74,A, 1,15,57
74,B, 1,16,57
79,A, 5,15,57
79,B, 5,16,57
87,A, 4,15,57
87,B, 4,16,57
88,A, 4,13,57
88,B, 4,14,57
92,A, 2,16,57
92,B, 2,15,57
98,A, 6,13,57
98,B, 6,14,57
106,A,3,13,6,58
106,B,3,14,3,57.7
91,B, 2,13,57.7
62,A,1,9,57
62,B,1,10,57
74,A,1,15,57
74,B,1,16,57
92,A,2,16,57
92,B,2,15,57
91,B,2,13,57.7
106,A,3,13,58
106,B,3,14,57.7
87,A,4,15,57
87,B,4,16,57
88,A,4,13,57
88,B,4,14,57
79,A,5,15,57
79,B,5,16,57
98,A,6,13,57
98,B,6,14,57
116,A,7,2,57.4
116,B,7,1,57.4
32,B,9,1,57.4
109,A,9,16,57.4
109,B,9,15,57.4
14,A,10,4,57.4
14,B,10,3,57.4
17,A,10,10,57.2
17,B,10,9,57.2
18,A,10,12,58.6
18,B,10,11,57.4
37,A,12,14,58.6
40,A,12,2,58.6
34,B,12,7,57.4
22,A,14,11,57.4
22,B,14,12,57.2
23,A,14,13,57.2
23,B,14,14,57.2
129,A,15,2,57.4
130,A,15,4,57.4
130,B,15,3,57.4
10,A,16,10,58.6
7,A,16,16,57.4
7,B,16,15,58.6
42,A,16,2,58.6
51,A,19,12,57.4
51,B,19,11,57.4
126,B,20,1,57.4
